[19:20:56] Autonomous Robot Node initialized. PID=2188, Start=(14, 1), Goal=(14, 20)
[19:20:56] Initial path planned (20 steps) to (14, 20).
[19:20:56] [Tick 0] Pos=(14, 2), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=481.0, Battery=94.0%, Waits=0
[19:20:56] [Tick 1] Pos=(14, 3), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=482.0, Battery=93.0%, Waits=0
[19:20:56] [Tick 2] Pos=(14, 4), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=483.0, Battery=92.0%, Waits=0
[19:20:56] [Tick 3] Pos=(14, 5), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=484.0, Battery=91.0%, Waits=0
[19:20:56] [Tick 4] Pos=(14, 6), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=485.0, Battery=90.0%, Waits=0
[19:20:56] [Tick 5] Pos=(14, 7), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=486.0, Battery=89.0%, Waits=0
[19:20:56] [Tick 6] Pos=(14, 8), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=487.0, Battery=88.0%, Waits=0
[19:20:56] [Tick 7] Pos=(14, 9), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=488.0, Battery=87.0%, Waits=0
[19:20:57] [Tick 8] Pos=(14, 10), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=489.0, Battery=86.0%, Waits=0
[19:20:57] [Tick 9] Pos=(14, 11), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=490.0, Battery=85.0%, Waits=0
[19:20:57] [Tick 10] Pos=(14, 12), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=491.0, Battery=84.0%, Waits=0
[19:20:57] [Tick 11] Pos=(14, 13), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=492.0, Battery=83.0%, Waits=0
[19:20:57] [Tick 12] Pos=(14, 14), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=493.0, Battery=82.0%, Waits=0
[19:20:57] [Tick 13] Pos=(14, 15), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=494.0, Battery=81.0%, Waits=0
[19:20:57] [Tick 14] Pos=(14, 16), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=495.0, Battery=80.0%, Waits=0
[19:20:57] [Tick 15] Pos=(14, 17), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=496.0, Battery=79.0%, Waits=0
[19:20:57] [Tick 16] Pos=(14, 18), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=497.0, Battery=78.0%, Waits=0
[19:20:57] [Tick 17] Pos=(14, 19), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=498.0, Battery=77.0%, Waits=0
[19:20:58] [Tick 18] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=499.0, Battery=76.0%, Waits=0
[19:20:58] [Tick 19] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=500.0, Battery=75.9%, Waits=1
[19:20:58] [Tick 20] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=510.0, Battery=75.8%, Waits=2
[19:20:58] [Tick 21] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=520.0, Battery=75.7%, Waits=3
[19:20:58] [Tick 22] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=530.0, Battery=75.6%, Waits=4
[19:20:58] [Tick 23] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=540.0, Battery=75.5%, Waits=5
[19:20:58] [Tick 24] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=550.0, Battery=75.4%, Waits=6
[19:20:58] [Tick 25] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=560.0, Battery=75.3%, Waits=7
[19:20:58] [Tick 26] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=570.0, Battery=75.2%, Waits=8
[19:20:58] [Tick 27] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=580.0, Battery=75.1%, Waits=9
[19:20:59] [Tick 28] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=590.0, Battery=75.0%, Waits=10
[19:20:59] [Tick 29] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=600.0, Battery=74.9%, Waits=11
[19:20:59] [Tick 30] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=610.0, Battery=74.8%, Waits=12
[19:20:59] [Tick 31] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=620.0, Battery=74.7%, Waits=13
[19:20:59] [Tick 32] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=630.0, Battery=74.6%, Waits=14
[19:20:59] [Tick 33] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=640.0, Battery=74.5%, Waits=15
[19:20:59] [Tick 34] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=650.0, Battery=74.4%, Waits=16
[19:20:59] [Tick 35] Pos=(14, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=660.0, Battery=74.3%, Waits=17
